Source	INDLABEL	h_posterior_mode	h_cred_int_lower	h_cred_int_upper	beta_mean	beta_var	beta_shape1	beta_shape2	dataset	BX0.rf_votes	BX1.rf_votes	F1_F2.rf_votes	source0.rf_votes	source1.rf_votes	BX0.abc_prob	BX1.abc_prob	F1_F2.abc_prob	source0.abc_prob	source1.abc_prob	rf	max_rf_votes	abc	max_abc_prob
28	TEST	fuen_22163_1	0.577	0.4356	0.7065	0.57386876091102	0.00481969195638653	28.5433	21.1951	observed	0.069	0.2255	0.6583	0.0052	0.042	0	0	1	0	0	F1_F2	0.6583	F1_F2	1
29	S0	fuen_22200_1	0.0209	0.0044	0.1554	0.0529765020871428	0.00162452659434066	1.5831	28.2998	observed	0.0038	0	3e-04	0.9956	3e-04	0	0	0	1	0	source0	0.9956	source0	1
30	TEST	fuen_22201_1	0.4763	0.3964	0.5575	0.476609175718771	0.00169356769049235	69.7252	76.5691	observed	0.0604	0.0067	0.9301	0.001	0.0018	0	0	1	0	0	F1_F2	0.9301	F1_F2	1
31	TEST	fuen_22203_1	0.4782	0.3989	0.5586	0.478471130616427	0.00166414457293544	71.2677	77.6811	observed	0.007	0.0066	0.9845	3e-04	0.0016	0	0	1	0	0	F1_F2	0.9845	F1_F2	1
32	S0	fuen_22204_1	0.0459	0.0129	0.1698	0.0701521466782966	0.00169755435804788	2.6255	34.8008	observed	0.0039	0	3e-04	0.9955	3e-04	0	0	0	1	0	source0	0.9955	source0	1
33	S1	fuen_22205_1	1	0.9712	1	0.994587655468279	6.58514769876488e-05	80.3083	0.437	observed	0	1e-04	6e-04	0	0.9993	0	0	0	0	1	source1	0.9993	source1	1
34	S0	fuen_22206_1	0	2e-04	0.0839	0.0203111192750497	0.000532300445482432	0.739	35.6433	observed	0	0	0	1	0	0	0	0	1	0	source0	1	source0	1
35	TEST	fuen_22207_1	0.4142	0.3323	0.5012	0.415508766018312	0.00186430180437335	53.7125	75.5568	observed	0.0993	0.016	0.8787	0.0034	0.0026	0	0	1	0	0	F1_F2	0.8787	F1_F2	1
36	S0	fuen_22208_1	0.0175	0.0038	0.1189	0.0410858094552108	0.000940400212845734	1.6802	39.2145	observed	0.0027	2e-04	0	0.9971	0	0	0	0	1	0	source0	0.9971	source0	1
37	TEST	fuen_22210_1	0.5415	0.4565	0.6241	0.54088075146587	0.00183574323493561	72.6263	61.6479	observed	0.0021	0.1782	0.8152	4e-04	0.0041	0	0	1	0	0	F1_F2	0.8152	F1_F2	1
38	TEST	fuen_22211_1	0.4937	0.4083	0.5795	0.493798095648851	0.001912919135625	64.0309	65.6393	observed	0.0702	0.1662	0.7551	0.0039	0.0046	0	0	1	0	0	F1_F2	0.7551	F1_F2	1
39	S1	fuen_22214_1	1	0.9646	1	0.992964562069129	9.88250255735146e-05	69.1997	0.4903	observed	5e-04	1e-04	2e-04	1e-04	0.9991	0	0	0	0	1	source1	0.9991	source1	1
40	S1	fuen_22216_1	1	0.9738	0.9999	0.993653475641692	5.2251092235416e-05	118.9316	0.7596	observed	0	8e-04	1e-04	0	0.9991	0	0	0	0	1	source1	0.9991	source1	1
41	S1	fuen_22218_1	1	0.9769	0.9999	0.99400762363835	3.97907990129635e-05	147.8036	0.891	observed	0	0.0122	0	0	0.9878	0	0	0	0	1	source1	0.9878	source1	1
42	S1	fuen_22220_2	1	0.9784	1	0.994910654708432	3.55082215413075e-05	140.8785	0.7206	observed	0	0.0122	0	0	0.9878	0	0	0	0	1	source1	0.9878	source1	1
43	S1	fuen_22222_1	1	0.9712	1	0.993944124738349	6.48625066681308e-05	91.2435	0.5559	observed	0	1e-04	7e-04	0	0.9992	0	0	0	0	1	source1	0.9992	source1	1
